kategori_wilayah,kategori_membership,bergabung_melalui_referral,jenis_penawaran_preferensi,medium_operasi,rata_rata_waktu_dihabiskan,rata_rata_nilai_transaksi,rata_rata_hari_login,poin_di_dompet,menggunakan_diskon_khusus,preferensi_aplikasi_penawaran,umpan_balik
City,No Membership,No,Without Offers,Both,312.16,11597.79,13.0,299.8337499999999,Yes,Yes,Poor Product Quality
Village,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,30.42,49030.56,13.0,736.76,Yes,No,Too many ads
Unknown,Premium Membership,No,Credit/Debit Card Offers,Desktop,29.99,32642.1,25.0,762.59,No,Yes,Poor Website
Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,34.09,29822.88,6.0,763.08,No,Yes,Poor Website
Town,No Membership,No,Without Offers,Smartphone,394.53,19182.81,18.0,680.11,No,Yes,Too many ads
Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,271.26,43112.32,24.0,595.17,Yes,No,Too many ads
Unknown,Basic Membership,No,Credit/Debit Card Offers,Smartphone,30.49,13508.76,6.0,548.87,Yes,No,Too many ads
Town,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,488.888186,54137.75,5.0,822.97,No,Yes,Products always in Stock
Unknown,Basic Membership,Unknown,Without Offers,Smartphone,196.43,1949.95,23.0,580.17,Yes,No,Too many ads
Unknown,Silver Membership,Unknown,Credit/Debit Card Offers,Desktop,225.93,37575.08,26.0,787.63,Yes,No,Poor Customer Service
City,Silver Membership,No,Without Offers,Desktop,357.52,44381.92,21.0,668.23,Yes,No,Poor Website
City,Premium Membership,No,Without Offers,Desktop,0.0,14891.73,23.0,758.86,Yes,No,Too many ads
Town,Gold Membership,No,Without Offers,Desktop,0.0,15749.47,15.0,770.73,No,Yes,Poor Customer Service
City,Basic Membership,No,Gift Vouchers/Coupons,Unknown,391.23,46671.43,16.0,614.26,No,Yes,No reason specified
Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,31.84,42735.47,7.0,779.92,Yes,No,Too many ads
Town,Premium Membership,Unknown,Credit/Debit Card Offers,Smartphone,56.09,45914.05,2.0,759.22,Yes,No,Quality Customer Care
Town,Basic Membership,Yes,Without Offers,Smartphone,801.13375,36698.21,10.0,566.73,No,Yes,Poor Product Quality
Unknown,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,32.35,44876.2,5.0,299.8337499999999,Yes,No,Poor Product Quality
Unknown,No Membership,Yes,Gift Vouchers/Coupons,Both,359.61,4050.53,6.0,717.15,Yes,No,Poor Customer Service
Village,No Membership,No,Credit/Debit Card Offers,Desktop,273.52,42754.83,17.0,617.76,No,Yes,No reason specified
City,No Membership,Yes,Credit/Debit Card Offers,Both,527.56,14041.01,7.0,501.9,Yes,Yes,Too many ads
City,Platinum Membership,No,Credit/Debit Card Offers,Desktop,352.97,32125.52,36.25562223,299.8337499999999,Yes,No,Quality Customer Care
Village,Gold Membership,Unknown,Credit/Debit Card Offers,Smartphone,0.0,35261.31,0.0,798.53,No,Yes,Poor Product Quality
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,30.82,48346.37,18.0,760.3,Yes,No,Poor Product Quality
Town,No Membership,No,Gift Vouchers/Coupons,Unknown,413.43,3755.63,20.0,324.0900359,Yes,No,Poor Website
City,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,31.69,27476.11,18.0,609.32,Yes,No,Too many ads
Unknown,Basic Membership,No,Unknown,Smartphone,250.04,41599.49,0.0,580.53,Yes,No,Poor Customer Service
Town,Gold Membership,No,Gift Vouchers/Coupons,Both,459.62,12269.84,2.0,299.8337499999999,No,Yes,Reasonable Price
Town,Silver Membership,No,Without Offers,Unknown,363.3,14026.99,8.0,681.77,Yes,No,Too many ads
Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,92.1,32557.56,25.0,683.7,No,Yes,Poor Product Quality
Town,No Membership,No,Without Offers,Unknown,138.61,38827.92,19.0,622.87,No,Yes,No reason specified
Unknown,No Membership,Yes,Gift Vouchers/Coupons,Desktop,525.5,7218.14,18.0,645.31,Yes,No,Poor Customer Service
Town,Gold Membership,Yes,Gift Vouchers/Coupons,Both,223.07,2912.21,10.0,703.04,Yes,Yes,No reason specified
Town,Gold Membership,Unknown,Credit/Debit Card Offers,Smartphone,37.84,9399.17,21.0,710.13,Yes,No,Poor Website
Village,Gold Membership,Unknown,Gift Vouchers/Coupons,Both,801.13375,9072.84,6.0,840.12,No,Yes,Products always in Stock
Town,Premium Membership,Unknown,Gift Vouchers/Coupons,Desktop,34.26,15569.86,17.0,783.16,Yes,No,Too many ads
Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,48.32,26279.04,27.0,299.8337499999999,No,Yes,Poor Customer Service
Town,Platinum Membership,Unknown,Gift Vouchers/Coupons,Both,378.94,31350.98,27.0,439.5194599,Yes,No,Poor Product Quality
Town,Platinum Membership,Yes,Without Offers,Smartphone,32.19,22590.03,0.0,798.58,No,Yes,No reason specified
Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,338.7,7574.01,12.0,601.19,No,Yes,Poor Product Quality
Town,Premium Membership,No,Without Offers,Unknown,321.38,30721.96,9.0,1031.30375,No,Yes,User Friendly Website
Unknown,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,75.16,31010.37,20.0,299.8337499999999,No,Yes,Poor Customer Service
City,No Membership,Yes,Credit/Debit Card Offers,Desktop,520.98,36929.54,29.0,554.89,Yes,No,Poor Customer Service
City,Basic Membership,No,Without Offers,Smartphone,30.8,42746.03,0.0,562.23,No,Yes,No reason specified
City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,256.65,70172.44,7.0,792.52,No,Yes,Products always in Stock
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,104.07,49671.76,12.0,516.84,No,Yes,No reason specified
City,No Membership,Unknown,Without Offers,Smartphone,43.98,26126.3,0.0,584.16,No,Yes,Too many ads
City,Platinum Membership,Yes,Credit/Debit Card Offers,Unknown,337.46,79769.9,2.0,729.75,Yes,Yes,User Friendly Website
City,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,239.35,6977.63,28.0,563.25,Yes,No,Too many ads
City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,187.83,24127.37,20.0,586.81,Yes,No,Poor Website
Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,313.84,23211.35,15.0,573.16,Yes,No,Poor Product Quality
City,Basic Membership,No,Credit/Debit Card Offers,Desktop,339.28,43472.58,13.0,613.29,Yes,No,Poor Product Quality
City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,31.59,33244.91,20.0,667.32,No,Yes,No reason specified
City,Gold Membership,Unknown,Credit/Debit Card Offers,Desktop,62.39,47092.28,6.0,677.9,No,Yes,Poor Product Quality
City,No Membership,No,Credit/Debit Card Offers,Smartphone,34.67,44498.21,11.0,659.9,No,Yes,Poor Product Quality
Town,Basic Membership,Unknown,Credit/Debit Card Offers,Smartphone,34.44,2758.01,12.0,640.18,No,Yes,Poor Product Quality
Unknown,Premium Membership,Yes,Gift Vouchers/Coupons,Both,505.24,5060.25,11.0,743.1,Yes,Yes,User Friendly Website
Unknown,Platinum Membership,Yes,Without Offers,Smartphone,801.13375,53127.66,0.0,778.85,Yes,Yes,Products always in Stock
Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,280.67,12807.75,28.0,511.59,No,Yes,Poor Website
Town,Gold Membership,No,Credit/Debit Card Offers,Unknown,32.55,4441.8,42.19009019,299.8337499999999,Yes,No,No reason specified
Unknown,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,801.13375,47086.18,15.0,796.47,No,Yes,Too many ads
City,No Membership,No,Without Offers,Unknown,66.68,29861.76,19.0,516.3,No,Yes,Poor Product Quality
Unknown,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,137.93,13961.03,9.0,793.62,No,Yes,Poor Product Quality
Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,801.13375,13422.0,15.0,1028.1213,No,Yes,No reason specified
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,265.85,7485.57,15.0,299.8337499999999,Yes,Yes,Poor Customer Service
Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,30.91,10716.64,24.0,673.59,Yes,No,Poor Customer Service
City,Premium Membership,Unknown,Without Offers,Desktop,30.25,38400.51,6.0,754.76,Yes,No,No reason specified
City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,801.13375,21961.77,21.0,705.19,Yes,No,Poor Product Quality
City,Premium Membership,No,Without Offers,Smartphone,0.0,58594.04,9.0,824.28,No,Yes,Reasonable Price
City,Silver Membership,Yes,Without Offers,Unknown,138.13,15577.56,26.0,646.27,Yes,No,Too many ads
Village,Premium Membership,No,Gift Vouchers/Coupons,Desktop,267.67,80871.465,12.0,801.73,Yes,No,User Friendly Website
Unknown,Gold Membership,Yes,Without Offers,Desktop,88.76,25505.57,26.0,1006.235871,No,Yes,Poor Product Quality
City,Platinum Membership,No,Credit/Debit Card Offers,Desktop,115.06,66284.07,13.0,751.25,No,Yes,Reasonable Price
City,Gold Membership,No,Credit/Debit Card Offers,Smartphone,58.88,37076.42,20.0,299.8337499999999,No,Yes,Too many ads
Town,Silver Membership,Yes,Credit/Debit Card Offers,Unknown,801.13375,4901.77,21.0,753.65,Yes,No,Poor Product Quality
Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,166.04,30782.42,15.0,737.6,No,Yes,Reasonable Price
City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,208.68,9632.94,19.0,800.8010047,Yes,No,Poor Customer Service
Town,Basic Membership,Yes,Without Offers,Desktop,381.07,18862.04,0.0,588.95,No,Yes,No reason specified
Town,Platinum Membership,Unknown,Credit/Debit Card Offers,Smartphone,53.65,26273.18,15.0,709.02,No,Yes,Poor Website
Unknown,Silver Membership,No,Gift Vouchers/Coupons,Desktop,218.44,25061.02,29.0,440.7406775,Yes,Yes,Poor Website
Unknown,Gold Membership,No,Gift Vouchers/Coupons,Unknown,131.19,20554.24,15.0,352.531618,No,Yes,Reasonable Price
Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,72.74,44656.79,0.0,545.3,Yes,No,Poor Customer Service
Unknown,Basic Membership,Yes,Without Offers,Both,640.77,37440.36,13.0,676.82,Yes,Yes,Too many ads
City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,43.33,73332.11,10.0,755.66,Yes,No,Products always in Stock
Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,565.83,3739.6,20.0,763.12,No,Yes,Poor Website
City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,344.1,45565.08,28.0,673.26,Yes,No,Poor Customer Service
Unknown,Silver Membership,Unknown,Gift Vouchers/Coupons,Desktop,33.54,17807.61,12.0,782.95,Yes,No,Products always in Stock
Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,32.2,36876.14,25.0,676.53,Yes,No,Poor Product Quality
Town,No Membership,Unknown,Without Offers,Desktop,75.1,26479.87,16.0,548.73,Yes,No,Poor Product Quality
City,Silver Membership,No,Without Offers,Both,0.0,29219.13,29.0,701.49,Yes,No,Poor Website
Unknown,Silver Membership,No,Without Offers,Smartphone,125.88,13702.57,9.0,707.03,Yes,No,No reason specified
Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,0.0,17179.66,0.0,652.59,No,Yes,Poor Website
Town,Gold Membership,Yes,Gift Vouchers/Coupons,Both,801.13375,24364.4,15.0,722.39,No,Yes,Poor Customer Service
City,Gold Membership,Yes,Without Offers,Both,304.27,80871.465,6.0,783.69,Yes,No,Quality Customer Care
City,Premium Membership,Yes,Credit/Debit Card Offers,Unknown,167.3,10927.35,5.0,299.8337499999999,Yes,No,Poor Website
City,Premium Membership,No,Credit/Debit Card Offers,Desktop,301.85,44981.8,16.0,777.41,No,Yes,Poor Customer Service
Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,268.73,6513.32,0.0,708.08,Yes,Yes,Poor Website
Unknown,Silver Membership,Yes,Without Offers,Both,799.77,66877.23,1.0,701.97,Yes,Yes,User Friendly Website
Town,Platinum Membership,Yes,Without Offers,Smartphone,135.57,27940.63,13.0,786.91,No,Yes,Poor Product Quality
Village,Silver Membership,No,Without Offers,Unknown,150.23,46890.08,15.0,299.8337499999999,Yes,No,Too many ads
City,Platinum Membership,No,Without Offers,Desktop,45.21,21667.82,27.0,734.4,No,Yes,Poor Customer Service
City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,277.41,61226.56,1.0,790.74,Yes,Yes,Products always in Stock
Town,Platinum Membership,No,Without Offers,Smartphone,369.65,4010.61,26.0,299.8337499999999,Yes,Yes,Poor Website
Town,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,208.56,22923.99,18.0,966.4825055,Yes,Yes,Poor Product Quality
Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,120.13,1776.07,9.0,623.35,No,Yes,Poor Product Quality
Town,Premium Membership,No,Gift Vouchers/Coupons,Unknown,284.67,48087.44,9.0,704.75,Yes,No,Quality Customer Care
Unknown,Gold Membership,No,Without Offers,Smartphone,84.16,25760.94,12.0,709.57,No,Yes,Poor Product Quality
Unknown,Gold Membership,No,Without Offers,Smartphone,37.12,14590.11,23.0,611.15,Yes,No,Poor Customer Service
Town,Basic Membership,No,Credit/Debit Card Offers,Both,240.47,44835.32,5.0,608.93,Yes,No,Poor Customer Service
Village,No Membership,Yes,Credit/Debit Card Offers,Unknown,801.13375,14121.97,16.0,511.77,Yes,Yes,Poor Customer Service
Town,Basic Membership,Unknown,Without Offers,Smartphone,294.4,23075.78,12.0,644.64,Yes,No,No reason specified
City,Gold Membership,No,Gift Vouchers/Coupons,Both,0.0,37488.13,12.0,723.28,Yes,No,Reasonable Price
Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Unknown,200.32,70366.54,12.0,1031.30375,Yes,No,Quality Customer Care
Town,Platinum Membership,Yes,Without Offers,Both,502.4,4714.82,24.0,472.8025704,Yes,No,Poor Website
Town,Silver Membership,No,Credit/Debit Card Offers,Both,416.4,42525.04,0.0,622.01,No,Yes,No reason specified
City,Gold Membership,No,Without Offers,Both,0.0,49382.87,19.0,633.23,Yes,Yes,Too many ads
Village,Basic Membership,No,Gift Vouchers/Coupons,Desktop,215.85,10737.9,21.0,639.15,No,Yes,No reason specified
Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,70.14,45739.71,7.0,797.82,No,Yes,Too many ads
Town,Platinum Membership,Unknown,Without Offers,Desktop,0.0,21967.19,44.5,797.85,No,Yes,Too many ads
Town,Silver Membership,No,Without Offers,Smartphone,34.24,5865.34,8.0,775.29,No,Yes,Products always in Stock
Unknown,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,50.72,18298.76,26.0,736.21,No,Yes,Poor Website
Village,Silver Membership,No,Without Offers,Smartphone,42.28,30703.68,7.0,792.61,No,Yes,Poor Product Quality
Town,Silver Membership,Yes,Without Offers,Both,255.99,6318.36,0.0,770.01,No,Yes,Too many ads
City,No Membership,No,Without Offers,Desktop,197.74,28045.81,27.0,521.57,No,Yes,Poor Website
Unknown,Basic Membership,No,Without Offers,Desktop,154.97,42011.67,22.0,299.8337499999999,No,Yes,Too many ads
Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,34.1,34338.39,8.0,517.41,No,Yes,Poor Customer Service
Town,Platinum Membership,No,Without Offers,Unknown,130.63,11169.71,13.0,299.8337499999999,No,Yes,Quality Customer Care
City,Basic Membership,Yes,Without Offers,Desktop,39.09,48093.73,20.0,700.31,Yes,No,Poor Customer Service
Town,Platinum Membership,Unknown,Gift Vouchers/Coupons,Both,801.13375,11543.11,0.0,710.22,Yes,Yes,Quality Customer Care
City,Gold Membership,Yes,Without Offers,Desktop,105.16,24777.8,21.0,756.56,No,Yes,No reason specified
City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,51.15,26319.18,17.0,698.27,Yes,No,No reason specified
City,No Membership,No,Without Offers,Desktop,32.03,26989.95,0.0,633.81,Yes,No,Poor Customer Service
Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,315.48,16982.58,29.0,705.55,Yes,Yes,Poor Website
Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,197.01,21584.52,23.0,524.1056561,No,Yes,No reason specified
City,No Membership,Yes,Without Offers,Desktop,437.94,21188.94,18.0,684.48,No,Yes,Poor Website
Town,No Membership,Unknown,Without Offers,Unknown,801.13375,29878.4,22.0,1031.30375,No,Yes,Too many ads
City,Basic Membership,Yes,Without Offers,Both,531.45,36812.67,10.0,299.8337499999999,Yes,Yes,Poor Website
Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,33.55,29645.31,27.0,747.08,No,Yes,Poor Customer Service
Unknown,Gold Membership,No,Gift Vouchers/Coupons,Desktop,80.31,24126.64,8.0,624.7,No,Yes,Poor Customer Service
Town,Gold Membership,Yes,Without Offers,Desktop,295.65,20776.31,19.0,684.67,No,Yes,No reason specified
Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,34.62,3469.07,0.0,709.08,No,Yes,Poor Website
Town,Premium Membership,Unknown,Credit/Debit Card Offers,Desktop,42.33,56192.95,11.0,725.8,No,Yes,Quality Customer Care
Village,Basic Membership,Yes,Without Offers,Smartphone,116.75,14931.12,29.0,579.23,Yes,No,No reason specified
City,No Membership,No,Without Offers,Smartphone,215.75,33862.45,0.0,299.8337499999999,No,Yes,Too many ads
Town,Gold Membership,No,Without Offers,Smartphone,801.13375,30230.0,8.0,358.2713561,Yes,No,No reason specified
Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,32.76,35061.56,11.0,791.01,No,Yes,Too many ads
Town,No Membership,Yes,Without Offers,Smartphone,56.85,3054.9,24.0,512.19,No,Yes,Poor Product Quality
Town,No Membership,Yes,Credit/Debit Card Offers,Unknown,155.66,47552.02,16.0,299.8337499999999,Yes,No,Poor Customer Service
City,Premium Membership,No,Gift Vouchers/Coupons,Unknown,127.39,41401.96,20.0,705.43,Yes,No,Poor Website
City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,188.6,11421.1,10.0,768.16,No,Yes,Poor Product Quality
City,Premium Membership,No,Without Offers,Desktop,270.12,16143.35,22.0,757.98,No,Yes,No reason specified
Village,Silver Membership,No,Credit/Debit Card Offers,Smartphone,77.83,10602.22,1.0,759.45,Yes,No,User Friendly Website
Unknown,No Membership,Yes,Credit/Debit Card Offers,Desktop,229.34,24121.73,19.0,560.76,Yes,No,No reason specified
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,137.78,32908.12,0.0,506.2345973,No,Yes,Poor Product Quality
Village,Gold Membership,No,Without Offers,Both,488.15,18166.63,15.0,715.16,Yes,No,Poor Customer Service
Town,Gold Membership,Unknown,Credit/Debit Card Offers,Smartphone,801.13375,2292.09,26.0,710.34,No,Yes,Poor Customer Service
City,Basic Membership,Yes,Without Offers,Desktop,33.12,27449.04,0.0,1006.818094,No,Yes,Poor Website
City,Basic Membership,Unknown,Gift Vouchers/Coupons,Desktop,0.0,22037.61,5.0,620.82,Yes,No,Poor Product Quality
City,No Membership,Yes,Unknown,Smartphone,579.1,43528.88,0.0,951.1039761,Yes,No,No reason specified
City,Premium Membership,No,Without Offers,Unknown,140.15,33487.62,8.0,745.73,Yes,No,User Friendly Website
Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,30.33,24103.55,5.0,299.8337499999999,No,Yes,Too many ads
Village,No Membership,No,Without Offers,Desktop,57.6,36178.38,17.0,299.8337499999999,Yes,No,Poor Website
Town,No Membership,No,Without Offers,Unknown,31.49,39212.67,13.0,380.3140166,No,Yes,No reason specified
City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,118.78,22929.71,23.0,1031.30375,Yes,No,Too many ads
Village,Platinum Membership,Yes,Without Offers,Smartphone,191.03,42167.43,12.0,770.78,No,Yes,Poor Customer Service
City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,258.41,24803.33,19.0,1031.30375,No,Yes,Quality Customer Care
Town,Silver Membership,No,Without Offers,Smartphone,291.7,18911.05,18.0,700.09,No,Yes,Poor Customer Service
Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,33.08,25825.62,0.0,571.55,No,Yes,Too many ads
Unknown,Basic Membership,No,Without Offers,Smartphone,106.13,23058.37,28.0,649.15,Yes,No,No reason specified
City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,31.21,20921.5,23.0,651.91,Yes,No,Poor Website
City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,198.73,48574.31,1.946183913,778.42,No,Yes,Poor Customer Service
City,Gold Membership,Unknown,Without Offers,Both,801.13375,9889.9,24.0,346.3020117,No,Yes,Poor Customer Service
Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,91.65,12878.31,0.0,719.52,Yes,Yes,Poor Website
Unknown,No Membership,No,Credit/Debit Card Offers,Smartphone,195.59,12302.72,13.0,642.91,Yes,No,No reason specified
Town,Basic Membership,Unknown,Gift Vouchers/Coupons,Smartphone,136.03,49966.36,13.0,615.48,No,Yes,Poor Website
Town,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,302.44,52331.78,10.0,791.92,No,Yes,Products always in Stock
City,No Membership,No,Without Offers,Desktop,101.52,45720.73,23.0,646.53,Yes,No,Poor Website
Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,96.42,15700.34,28.0,528.22,No,Yes,Too many ads
Village,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,57.54,46120.48,20.0,299.8337499999999,Yes,No,Too many ads
City,Premium Membership,No,Credit/Debit Card Offers,Unknown,32.9,3900.54,24.0,765.71,No,Yes,No reason specified
Unknown,Gold Membership,No,Without Offers,Unknown,33.9,32136.73,5.0,667.76,Yes,No,Poor Product Quality
Town,Platinum Membership,No,Without Offers,Desktop,95.44,34326.35,0.0,1031.30375,Yes,No,Products always in Stock
City,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,201.81,15410.77,23.0,545.38,Yes,No,Poor Product Quality
Town,Gold Membership,Yes,Credit/Debit Card Offers,Unknown,801.13375,29713.35,16.0,643.15,Yes,Yes,No reason specified
Town,Premium Membership,No,Without Offers,Smartphone,123.46,29738.48,20.0,715.49,No,Yes,Poor Website
Unknown,No Membership,Yes,Without Offers,Desktop,31.08,38394.12,9.0,667.74,No,Yes,Poor Customer Service
City,Silver Membership,Unknown,Without Offers,Smartphone,801.13375,30036.46,25.0,299.8337499999999,Yes,No,Poor Website
Town,Basic Membership,Unknown,Credit/Debit Card Offers,Unknown,34.65,9109.35,8.0,299.8337499999999,No,Yes,Poor Product Quality
City,Platinum Membership,Yes,Without Offers,Smartphone,252.04,80871.465,0.0,724.83,No,Yes,Reasonable Price
Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,587.24,44624.51,18.0,951.8095486,Yes,No,Poor Website
City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,130.49,42278.41,27.0,663.03,Yes,No,Poor Website
Town,No Membership,No,Gift Vouchers/Coupons,Desktop,353.64,33949.08,24.0,618.9,No,Yes,Poor Customer Service
Town,No Membership,Yes,Without Offers,Desktop,199.65,19258.51,0.0,663.55,Yes,No,Poor Website
Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,801.13375,44868.01,21.0,693.79,No,Yes,Poor Website
City,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,103.39,80871.465,4.0,806.32,Yes,No,Products always in Stock
Town,Gold Membership,No,Without Offers,Desktop,31.21,21750.47,12.0,332.3565137,No,Yes,User Friendly Website
Town,No Membership,Unknown,Gift Vouchers/Coupons,Smartphone,34.08,38135.05,13.0,612.58,Yes,No,Poor Customer Service
Unknown,No Membership,No,Credit/Debit Card Offers,Smartphone,102.76,26898.54,6.0,627.15,No,Yes,Poor Customer Service
Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,110.59,12478.19,21.0,671.23,No,Yes,Poor Customer Service
City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,801.13375,14717.73,21.0,692.08,Yes,No,Poor Customer Service
City,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,151.36,6659.38,21.0,637.72,Yes,No,Poor Product Quality
City,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,145.59,24027.93,12.0,1031.30375,Yes,No,Products always in Stock
City,Gold Membership,Unknown,Gift Vouchers/Coupons,Both,0.0,29610.94,21.0,696.27,No,Yes,No reason specified
Town,Gold Membership,Yes,Without Offers,Desktop,132.89,41519.44,16.0,719.39,Yes,No,Poor Product Quality
Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,53.67,26097.64,18.0,627.02,Yes,No,Poor Website
Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,342.23,12741.8,20.0,299.8337499999999,No,Yes,Poor Product Quality
City,Basic Membership,No,Without Offers,Smartphone,224.13,48162.9,6.0,662.35,Yes,No,Poor Website
Village,Basic Membership,No,Credit/Debit Card Offers,Smartphone,39.27,28467.68,28.0,299.8337499999999,No,Yes,No reason specified
Town,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,59.34,11355.18,24.0,703.39,Yes,No,Poor Product Quality
Village,Basic Membership,Unknown,Credit/Debit Card Offers,Smartphone,30.49,47968.41,17.0,635.32,No,Yes,No reason specified
City,Basic Membership,Yes,Without Offers,Desktop,0.0,12267.54,21.0,299.8337499999999,No,Yes,Poor Website
City,Basic Membership,No,Credit/Debit Card Offers,Unknown,341.68,46865.29,10.0,594.51,No,Yes,Poor Website
Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,122.08,38175.45,17.0,513.49,No,Yes,Poor Customer Service
Village,No Membership,No,Gift Vouchers/Coupons,Smartphone,801.13375,8024.47,16.0,508.2,No,Yes,Poor Customer Service
Village,Gold Membership,Yes,Without Offers,Desktop,452.54,80871.465,4.0,815.47,Yes,Yes,Products always in Stock
City,Gold Membership,Yes,Without Offers,Desktop,0.0,29202.56,28.0,757.78,No,Yes,No reason specified
City,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,107.96,22271.06,14.0,773.18,No,Yes,Poor Website
Unknown,Basic Membership,Unknown,Gift Vouchers/Coupons,Unknown,801.13375,38770.69,14.0,523.05,No,Yes,Poor Customer Service
Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,0.0,18417.28,24.0,642.0,No,Yes,No reason specified
City,Platinum Membership,Unknown,Credit/Debit Card Offers,Smartphone,55.67,58226.47,12.0,757.09,No,Yes,Reasonable Price
Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,141.82,6096.92,11.0,685.57,No,Yes,No reason specified
Unknown,Basic Membership,No,Without Offers,Desktop,87.26,35024.91,24.0,610.96,No,Yes,Too many ads
Unknown,Basic Membership,Unknown,Without Offers,Smartphone,106.01,15175.38,18.0,678.96,Yes,No,No reason specified
City,No Membership,Yes,Credit/Debit Card Offers,Unknown,98.13,12324.13,24.0,501.19,Yes,No,Poor Customer Service
Unknown,Basic Membership,No,Gift Vouchers/Coupons,Desktop,135.45,28434.54,0.0,640.72,No,Yes,No reason specified
Village,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,675.98,36854.5,25.0,651.23,Yes,No,Poor Product Quality
Town,Basic Membership,Yes,Credit/Debit Card Offers,Both,801.13375,36087.18,7.0,637.66,Yes,No,Too many ads
City,Premium Membership,Yes,Credit/Debit Card Offers,Unknown,67.79,28656.15,16.0,712.29,No,Yes,Poor Customer Service
City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,801.13375,46900.21,28.0,652.91,No,Yes,Poor Website
Village,Gold Membership,No,Without Offers,Desktop,205.57,17284.36,9.0,656.77,No,Yes,Too many ads
